0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.035411,0.035411,0.036055,0.035089,0.037989,0.035411,0.036055,0.035089,0.036055,0.035411,0.036378,0.035089,0.037989,0.036378,0.035411,0.035089,0.036055,0.035411,0.035411,0.036378,0.083743,0.623454,1.317183,1.860438,2.096944,2.186198,2.213586,2.215842,2.205209,2.189098,2.171698,2.151721,2.133032,2.111766,2.0934,2.074067,2.056023,2.037979,2.019935,2.002535,1.986424,1.969991,1.953558,1.938737,1.924559,1.909415,1.89556,1.882993,1.867849,1.856249,1.843039,0.795517,0.367937,0.217463,0.160753,0.140131,0.130142,0.123376,0.121765,0.121442,0.119509,0.11822,0.118543,0.122087,0.118865,0.117898,0.11822,0.119187,0.117898,0.117254,1.469269
0.114998,0.116287,0.114354,0.11532,0.114354,0.117254,0.115965,0.11532,0.114354,0.114676,0.114676,0.116931,0.114998,0.11532,0.114032,0.11532,0.114032,0.114354,0.114032,0.11532,0.114032,1.096144,1.642621,1.825317,1.884282,1.898137,1.88976,1.87816,1.861083,1.849161,1.831439,1.815006,1.799862,1.785362,1.771185,1.757974,1.743796,1.730585,1.717697,1.706097,1.692564,1.681931,1.670331,1.659054,1.648098,1.637788,1.627477,1.616844,1.60621,1.596866,1.588166,0.673397,0.281906,0.157853,0.114032,0.098243,0.089221,0.085999,0.081166,0.083743,0.085999,0.082777,0.080843,0.083421,0.082777,0.081166,0.081166,0.081488,0.08181,0.081166,1.455414
0.079555,0.079555,0.079555,0.078588,0.078588,0.080843,0.079555,0.079555,0.078266,0.080199,0.07891,0.079877,0.079232,0.07891,0.079232,0.079877,0.078588,0.079555,0.079232,0.079555,0.077621,0.774573,1.344894,1.547567,1.613621,1.630054,1.62651,1.618777,1.607499,1.588489,1.597188,1.575922,1.567222,1.553367,1.548534,1.535645,1.527268,1.520179,1.507935,1.502135,1.492146,1.486024,1.475391,1.468947,1.460891,1.45348,1.446714,1.438981,1.432859,1.424803,1.41997,0.655675,0.25194,0.131753,0.092443,0.077621,0.071177,0.066988,0.065699,0.075043,0.0483,0.077943,0.054422,0.068277,0.060222,0.07021,0.058288,0.06731,0.060222,0.065699,1.444781
0.043144,0.074399,0.058611,0.066666,0.057644,0.06441,0.062477,0.060866,0.06441,0.059255,0.063444,0.061833,0.063444,0.061188,0.063444,0.061833,0.06151,0.06151,0.062477,0.06151,0.061833,0.622809,1.169287,1.374215,1.444136,1.462502,1.463791,1.457347,1.449936,1.441236,1.448325,1.403537,1.432536,1.401282,1.410626,1.392259,1.396448,1.378404,1.380338,1.369382,1.365838,1.357138,1.35166,1.347472,1.341027,1.336838,1.329105,1.324916,1.318472,1.314928,1.308161,0.632154,0.230673,0.115965,0.079232,0.06731,0.059899,0.057966,0.056355,0.055066,0.0541,0.034444,0.071177,0.050877,0.060222,0.048944,0.058933,0.053455,0.0541,0.056677,1.422225
0.053133,0.065377,0.034767,0.067955,0.0425,0.057322,0.048622,0.058933,0.046366,0.057644,0.048944,0.055388,0.051522,0.052811,0.052488,0.052488,0.053455,0.052166,0.052488,0.052488,0.053455,0.429802,1.002379,1.241785,1.32685,1.353271,1.358427,1.353594,1.347149,1.341349,1.337161,1.329105,1.306228,1.329427,1.305261,1.308806,1.294628,1.296884,1.287217,1.283351,1.282062,1.271107,1.27014,1.262729,1.26144,1.254029,1.250807,1.245652,1.240174,1.23663,1.23373,0.666631,0.230351,0.110165,0.074399,0.058933,0.054422,0.051522,0.0512,0.050555,0.049588,0.048622,0.056677,0.035733,0.058933,0.040244,0.053133,0.044755,0.051844,0.042822,1.426737
0.047977,0.047011,0.047333,0.026711,0.068921,0.037989,0.055711,0.0425,0.052166,0.044755,0.049266,0.049911,0.046044,0.049266,0.046044,0.048622,0.045722,0.0483,0.047011,0.0483,0.047011,0.345704,0.906359,1.156076,1.24694,1.275295,1.280451,1.279162,1.274973,1.268851,1.26434,1.258862,1.253385,1.24984,1.238241,1.247585,1.228252,1.232118,1.223741,1.224708,1.212463,1.215041,1.205052,1.205697,1.19893,1.195064,1.189264,1.187331,1.18282,1.17992,1.17702,0.5603,0.194908,0.095021,0.065055,0.054744,0.049588,0.049911,0.046689,0.046044,0.045077,0.044755,0.045077,0.045722,0.037667,0.060866,0.041211,0.047977,0.043466,0.047655,1.41707
0.043789,0.044111,0.044111,0.043789,0.044433,0.045077,0.046366,0.043789,0.045722,0.044111,0.044111,0.044433,0.0454,0.044111,0.044755,0.044433,0.0454,0.044111,0.044433,0.043789,0.046044,0.316705,0.85416,1.100332,1.189908,1.219552,1.226319,1.225352,1.221485,1.216652,1.21053,1.207952,1.202475,1.197964,1.193453,1.184108,1.184753,1.177986,1.177664,1.17122,1.168642,1.163164,1.160909,1.158653,1.154465,1.151242,1.14802,1.145765,1.141254,1.137709,1.134809,0.600254,0.200063,0.095021,0.063444,0.051844,0.046689,0.045077,0.044111,0.043466,0.042822,0.043789,0.042822,0.042822,0.0425,0.043466,0.048622,0.043789,0.038311,0.042822,1.409015
0.0425,0.042178,0.041533,0.041211,0.042822,0.043466,0.041211,0.055711,0.040244,0.044111,0.041211,0.045077,0.041211,0.043144,0.041211,0.043144,0.042178,0.040889,0.041211,0.040244,0.042178,0.208118,0.75234,1.034278,1.137065,1.173475,1.185075,1.183786,1.180564,1.176697,1.172509,1.167998,1.163809,1.160264,1.157365,1.151242,1.147698,1.14222,1.14222,1.137387,1.133521,1.130298,1.128687,1.122888,1.121921,1.115799,1.114832,1.109999,1.107421,1.104521,1.101621,0.627965,0.203285,0.093732,0.060866,0.050233,0.044755,0.043144,0.041211,0.041533,0.041533,0.040244,0.040566,0.041211,0.040889,0.043144,0.040244,0.032189,0.040244,0.030578,1.402248
0.041211,0.038955,0.0396,0.039278,0.038955,0.039278,0.041533,0.047977,0.040244,0.037022,0.040889,0.041533,0.0396,0.037022,0.039922,0.0367,0.039278,0.037667,0.040889,0.0396,0.162686,0.691441,0.987557,1.097433,1.135776,1.148987,1.151887,1.148343,1.144476,1.140287,1.135776,1.133521,1.12901,1.123532,1.120954,1.116443,1.113543,1.10871,1.124176,1.102266,1.10291,1.096466,1.097433,1.090022,1.090344,1.083577,1.081,1.0781,1.0752,1.071655,0.858027,0.260962,0.10501,0.063122,0.048944,0.043789,0.042822,0.0396,0.040889,0.039278,0.037989,0.038955,0.038311,0.0396,0.039278,0.038311,0.038311,0.038633,0.037667,0.037022,1.394515
0.038311,0.038311,0.038633,0.037989,0.037667,0.038311,0.037667,0.038311,0.030578,0.037667,0.026389,0.038633,0.0338,0.037344,0.0338,0.037989,0.036378,0.038311,0.037667,0.038311,0.093732,0.592843,0.929558,1.057478,1.104843,1.118699,1.121276,1.12031,1.116765,1.112577,1.108388,1.104521,1.101621,1.099044,1.092921,1.091633,1.087122,1.083577,1.081644,1.087766,1.074555,1.069722,1.069722,1.068111,1.063922,1.059089,1.058122,1.053289,1.052967,1.049422,1.048134,0.325405,0.121442,0.066344,0.050233,0.043466,0.040566,0.038955,0.038955,0.039278,0.037667,0.038311,0.037344,0.038633,0.037667,0.037989,0.037989,0.037344,0.037989,0.034444,1.389037
