0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.029933,0.039278,0.026711,0.038633,0.028,0.036378,0.031222,0.034767,0.032511,0.032833,0.033156,0.034122,0.034444,0.033156,0.034767,0.0338,0.032833,0.034122,0.0338,0.033478,0.033156,0.345382,0.757495,1.085188,1.275295,1.368416,1.384849,1.446392,1.421903,1.435436,1.421259,1.426092,1.411915,1.409659,1.402893,1.391937,1.387426,1.377438,1.373571,1.364227,1.359071,1.351338,1.345216,1.33845,1.330072,1.324916,1.316861,1.31235,1.307195,1.300428,1.293017,0.648587,0.284806,0.158819,0.113387,0.095343,0.092765,0.073755,0.088577,0.071177,0.081166,0.075688,0.082132,0.074077,0.082454,0.073755,0.080521,0.07601,0.078266,0.076977,1.469269
0.084066,0.07021,0.082454,0.071499,0.07891,0.077943,0.074721,0.076332,0.075688,0.077299,0.074399,0.079877,0.073432,0.076977,0.074399,0.075366,0.075366,0.075366,0.075366,0.075366,0.074721,0.544189,1.026867,1.225996,1.302039,1.325561,1.328783,1.327494,1.312672,1.31815,1.295273,1.297206,1.284317,1.28174,1.265307,1.267562,1.25274,1.251774,1.239529,1.235663,1.227607,1.222452,1.215686,1.209563,1.203764,1.197964,1.191519,1.187331,1.180564,1.175731,1.169931,0.613787,0.253229,0.137231,0.095665,0.079232,0.071821,0.069888,0.043466,0.09341,0.051844,0.075043,0.058611,0.070532,0.058933,0.067633,0.063122,0.063766,0.064733,0.063122,1.455414
0.061188,0.059899,0.06441,0.064733,0.062799,0.060866,0.065055,0.060222,0.065377,0.061833,0.066988,0.06441,0.063122,0.063122,0.063122,0.063444,0.062477,0.064088,0.062799,0.062155,0.063444,0.395648,0.872204,1.085188,1.164453,1.190231,1.19603,1.192808,1.188619,1.174442,1.190553,1.161231,1.165098,1.155109,1.153176,1.142865,1.139643,1.134165,1.130621,1.125787,1.121921,1.115799,1.110321,1.107743,1.101944,1.09711,1.092921,1.088733,1.086155,1.080355,1.076489,0.637309,0.248073,0.126276,0.085999,0.070855,0.065699,0.060866,0.058933,0.057644,0.065699,0.057966,0.053777,0.056999,0.060222,0.057322,0.055388,0.056355,0.054744,0.056033,1.444781
0.052811,0.069888,0.055388,0.057966,0.056355,0.058288,0.055388,0.058288,0.055388,0.056033,0.055388,0.055711,0.054744,0.055388,0.055066,0.0541,0.055388,0.054422,0.055066,0.056033,0.055388,0.326049,0.778117,0.987235,1.068433,1.095499,1.102588,1.101944,1.097755,1.093244,1.088088,1.080677,1.074233,1.073589,1.069722,1.064889,1.060056,1.055867,1.055222,1.0491,1.045234,1.039756,1.037178,1.033312,1.030412,1.025579,1.022679,1.019456,1.016234,1.013012,1.010112,0.636987,0.238084,0.117898,0.079555,0.065699,0.058611,0.054422,0.053455,0.052166,0.051522,0.047977,0.052166,0.041533,0.051844,0.048622,0.050877,0.047655,0.050555,0.051522,1.422225
0.050233,0.049911,0.062799,0.050555,0.049911,0.0512,0.054422,0.050555,0.049911,0.050233,0.047333,0.050555,0.048622,0.049911,0.049911,0.049266,0.048944,0.050233,0.048944,0.049588,0.050555,0.210696,0.66502,0.900559,0.993357,1.026867,1.0375,1.037178,1.034923,1.030734,1.026867,1.022034,1.016879,1.029123,1.010434,1.010434,1.004957,1.003346,0.997224,0.997868,0.991424,0.987879,0.984335,0.982079,0.97918,0.975957,0.972735,0.969835,0.967258,0.96468,0.962747,0.685641,0.245818,0.115965,0.075043,0.059577,0.054422,0.050877,0.050233,0.050555,0.047655,0.048944,0.047977,0.046366,0.037667,0.0483,0.047655,0.045722,0.046044,0.047333,1.426737
0.045722,0.047333,0.046689,0.041211,0.046044,0.034122,0.046366,0.043789,0.046044,0.042822,0.045722,0.046689,0.046044,0.0454,0.046689,0.048944,0.046044,0.047977,0.046044,0.047333,0.0454,0.167519,0.600899,0.843849,0.94148,0.976924,0.987879,0.988846,0.987879,0.985624,0.981113,0.978535,0.973057,0.970802,0.97918,0.964358,0.961135,0.956624,0.956624,0.952436,0.949536,0.94728,0.942447,0.942769,0.937292,0.937292,0.934392,0.931492,0.929236,0.927303,0.924081,0.58801,0.211663,0.10211,0.068921,0.055711,0.049911,0.050233,0.046689,0.045722,0.045722,0.046044,0.046689,0.0454,0.042822,0.06151,0.0454,0.052488,0.044433,0.047977,1.41707
0.0454,0.043789,0.044433,0.044111,0.044433,0.044755,0.033156,0.044433,0.042822,0.043789,0.041533,0.044755,0.044111,0.043466,0.044755,0.043789,0.044433,0.044755,0.045077,0.043789,0.046366,0.154631,0.570933,0.808728,0.903781,0.939225,0.951147,0.952758,0.952113,0.948891,0.945347,0.942769,0.939225,0.936969,0.933103,0.926981,0.928592,0.913448,0.924725,0.918281,0.917636,0.911192,0.915703,0.908937,0.909259,0.906359,0.903137,0.903137,0.900237,0.898626,0.897659,0.634409,0.220685,0.103721,0.066988,0.055066,0.048622,0.047011,0.046366,0.044755,0.043466,0.044111,0.042822,0.043144,0.043144,0.043789,0.057322,0.043789,0.046689,0.0425,1.409015
0.043144,0.043466,0.041855,0.042178,0.040889,0.042822,0.0396,0.056355,0.043466,0.049588,0.041855,0.044755,0.042822,0.046366,0.041855,0.044433,0.042178,0.043144,0.041533,0.0425,0.042178,0.092121,0.49199,0.755562,0.865438,0.90507,0.921503,0.925047,0.924081,0.922147,0.919247,0.916348,0.91377,0.911192,0.908614,0.905392,0.903459,0.900559,0.897337,0.897337,0.893148,0.891537,0.888959,0.887026,0.885093,0.882837,0.879937,0.879615,0.877037,0.875426,0.873171,0.669531,0.227129,0.103721,0.065699,0.052166,0.046689,0.045077,0.043466,0.043144,0.041533,0.042178,0.042178,0.042178,0.041211,0.043789,0.041211,0.040566,0.041855,0.041211,1.402248
0.041211,0.041211,0.041855,0.040566,0.040889,0.040566,0.040566,0.040566,0.040889,0.040244,0.041211,0.040244,0.040889,0.039922,0.040244,0.0396,0.040889,0.039922,0.0396,0.040566,0.07021,0.448491,0.722052,0.837405,0.880904,0.897015,0.903137,0.901526,0.900559,0.897981,0.895081,0.892181,0.888637,0.887026,0.886059,0.881548,0.879293,0.876071,0.876393,0.873171,0.87156,0.869626,0.867049,0.866726,0.863182,0.85996,0.859638,0.856738,0.856093,0.854482,0.851582,0.291894,0.120798,0.07021,0.053133,0.046044,0.044111,0.043144,0.041855,0.041211,0.040566,0.041533,0.040244,0.042178,0.040244,0.040244,0.0396,0.040566,0.039278,0.040566,1.394515
0.038955,0.038311,0.0396,0.041855,0.040244,0.0396,0.039922,0.038955,0.038311,0.040566,0.039278,0.041533,0.0396,0.0396,0.038955,0.0396,0.0396,0.038955,0.039922,0.040244,0.038955,0.374059,0.673719,0.806794,0.856738,0.876393,0.881871,0.881548,0.879937,0.877037,0.875426,0.873171,0.869626,0.867693,0.864793,0.863826,0.861571,0.859638,0.857704,0.855127,0.853838,0.850293,0.849005,0.848038,0.845782,0.843527,0.842238,0.840949,0.83966,0.837083,0.834827,0.362782,0.13852,0.074721,0.055066,0.046366,0.043144,0.041855,0.040566,0.040566,0.040244,0.038955,0.038955,0.038955,0.039922,0.038311,0.039278,0.038955,0.038633,0.037989,1.389037
0.038633,0.037667,0.038633,0.037344,0.038955,0.038955,0.038633,0.038311,0.038633,0.037989,0.039278,0.038633,0.038311,0.038633,0.037667,0.038311,0.037989,0.038311,0.039922,0.038955,0.038311,0.311872,0.63022,0.778117,0.83676,0.858671,0.865115,0.866404,0.864149,0.862215,0.85996,0.857704,0.856415,0.852227,0.85126,0.847716,0.846105,0.843849,0.842238,0.839983,0.838049,0.837727,0.833216,0.833216,0.832572,0.829349,0.829349,0.825805,0.825161,0.824194,0.821938,0.416269,0.15012,0.078588,0.055066,0.046366,0.042178,0.041211,0.0396,0.0396,0.039278,0.038633,0.039278,0.038633,0.037344,0.039278,0.037344,0.038633,0.037667,0.038633,1.382915
0.037667,0.037667,0.037022,0.038955,0.037022,0.038311,0.036378,0.037989,0.037989,0.038311,0.037344,0.037344,0.037022,0.037344,0.036055,0.037667,0.038633,0.040566,0.0367,0.037989,0.038311,0.175575,0.531623,0.728818,0.808405,0.840305,0.850293,0.852871,0.851582,0.850938,0.847716,0.845782,0.843849,0.840627,0.838049,0.837083,0.835472,0.833538,0.830638,0.828705,0.826772,0.825805,0.824194,0.818394,0.819683,0.819039,0.816783,0.815494,0.813883,0.81195,0.810661,0.448491,0.158175,0.080521,0.053455,0.045077,0.041855,0.040244,0.038633,0.038311,0.037667,0.038633,0.037667,0.037667,0.038311,0.037989,0.0367,0.037989,0.037667,0.037667,1.377438
0.037022,0.037344,0.038311,0.037344,0.0367,0.037022,0.036055,0.037667,0.0367,0.037022,0.037022,0.036055,0.036378,0.038955,0.037344,0.034444,0.036055,0.038955,0.036378,0.035733,0.0367,0.114676,0.47169,0.695952,0.78875,0.826127,0.838371,0.842238,0.840627,0.839016,0.835472,0.834505,0.832249,0.830638,0.828705,0.825483,0.823872,0.822261,0.820327,0.819683,0.817105,0.815494,0.813239,0.810661,0.810661,0.798417,0.813239,0.804217,0.807117,0.799061,0.805505,0.501979,0.176219,0.081488,0.055711,0.046044,0.041855,0.040244,0.038311,0.038311,0.038311,0.037667,0.037344,0.0367,0.037344,0.0367,0.037989,0.037344,0.036055,0.037022,1.371638
0.036055,0.035411,0.036055,0.035411,0.035089,0.036055,0.035411,0.036055,0.035733,0.037989,0.036378,0.036378,0.0367,0.036055,0.023167,0.058288,0.021234,0.049588,0.031222,0.040889,0.029289,0.101465,0.442691,0.68113,0.772962,0.814205,0.826127,0.831283,0.831927,0.829027,0.826772,0.824838,0.823227,0.821938,0.818072,0.816139,0.814528,0.812594,0.810661,0.809694,0.807439,0.80615,0.804217,0.802283,0.801639,0.824838,0.776184,0.803572,0.787139,0.799061,0.786173,0.574799,0.186208,0.085999,0.058611,0.043466,0.044111,0.038311,0.038633,0.035733,0.037667,0.037022,0.037989,0.036378,0.037022,0.037022,0.036378,0.0367,0.035733,0.0367,1.367771
0.035089,0.036055,0.037344,0.037989,0.035089,0.0367,0.034767,0.035733,0.035089,0.0367,0.037667,0.0367,0.034767,0.035411,0.035089,0.036378,0.06441,0.010923,0.049266,0.028322,0.043466,0.097921,0.45558,0.674364,0.768451,0.807117,0.817427,0.823227,0.821294,0.821616,0.818072,0.816461,0.81775,0.812272,0.810016,0.80905,0.80615,0.804861,0.802928,0.802283,0.80035,0.797128,0.797128,0.79455,0.792617,0.791328,0.782628,0.804539,0.773928,0.796161,0.779084,0.717219,0.217785,0.10211,0.053455,0.050555,0.037989,0.040244,0.037022,0.037344,0.036055,0.036378,0.036378,0.037344,0.036055,0.036055,0.0367,0.0367,0.037344,0.037344,1.362938
