0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.028967,0.029289,0.028967,0.028644,0.028967,0.028967,0.028967,0.028644,0.028322,0.028967,0.029289,0.028967,0.028322,0.028322,0.028,0.028644,0.028967,0.028967,0.028322,0.028967,0.051844,0.334749,0.672108,0.888959,0.988846,1.030734,1.045234,1.052322,1.053933,1.0491,1.042978,1.041689,1.0375,1.031701,1.026545,1.021712,1.017845,1.013657,1.008823,1.004957,0.999801,0.996901,0.991101,0.988202,0.982724,0.981113,0.976924,0.973057,0.968546,0.966291,0.962102,0.375026,0.15592,0.088577,0.065699,0.056999,0.0541,0.053133,0.0541,0.045722,0.047655,0.049911,0.050877,0.0483,0.049588,0.047655,0.049266,0.047977,0.048622,0.048622,1.469269
0.054422,0.044433,0.054422,0.045722,0.050233,0.050555,0.046366,0.051522,0.047655,0.051844,0.046689,0.051522,0.0483,0.048622,0.048944,0.047977,0.048944,0.048622,0.048944,0.049266,0.049266,0.433025,0.777795,0.920214,0.975313,0.991424,0.994001,1.000446,0.969835,0.993035,0.966291,0.974346,0.960813,0.965002,0.948569,0.952758,0.941158,0.940836,0.934714,0.931169,0.926658,0.923114,0.919892,0.915381,0.912159,0.907003,0.90507,0.899915,0.896692,0.893148,0.89057,0.371482,0.145609,0.080521,0.058611,0.050555,0.047011,0.045722,0.019622,0.063766,0.035089,0.048944,0.037344,0.048622,0.039922,0.043466,0.045722,0.041855,0.0454,0.041211,1.455414
0.054422,0.034444,0.047011,0.040244,0.047655,0.037344,0.047977,0.0396,0.0454,0.043789,0.046044,0.043789,0.044111,0.044433,0.043789,0.044433,0.0425,0.042822,0.043789,0.044433,0.044111,0.334427,0.681775,0.835149,0.892826,0.91087,0.914092,0.911837,0.908292,0.882515,0.919247,0.888637,0.898948,0.882837,0.888637,0.879293,0.877359,0.875748,0.868337,0.868337,0.864471,0.860927,0.855771,0.854804,0.850938,0.849327,0.844171,0.842238,0.840949,0.836438,0.83386,0.400803,0.14722,0.077299,0.0541,0.046044,0.044755,0.040889,0.040566,0.045722,0.030256,0.049911,0.031544,0.044755,0.038633,0.044433,0.034767,0.044111,0.035733,0.042178,1.444781
0.014789,0.062799,0.026711,0.046689,0.032833,0.044755,0.036378,0.041211,0.040566,0.037344,0.041211,0.038955,0.0396,0.038955,0.040244,0.039278,0.041855,0.0396,0.0396,0.038955,0.039278,0.289639,0.624098,0.776184,0.835149,0.854804,0.858993,0.858349,0.856093,0.85126,0.850293,0.837727,0.846427,0.829672,0.836438,0.829349,0.829994,0.820972,0.826449,0.817105,0.819683,0.813239,0.812594,0.810016,0.808083,0.805828,0.802606,0.800994,0.798095,0.796161,0.793261,0.409825,0.144964,0.074399,0.052166,0.046044,0.039278,0.039278,0.037667,0.037989,0.037022,0.018011,0.060222,0.024133,0.045077,0.032511,0.041855,0.031867,0.040889,0.038633,1.422225
0.0367,0.037989,0.044433,0.037344,0.032833,0.038311,0.038955,0.037667,0.035733,0.038955,0.036378,0.037022,0.036378,0.0367,0.037667,0.0367,0.036055,0.037344,0.037667,0.037667,0.037022,0.203607,0.547089,0.720763,0.788428,0.813239,0.819683,0.818394,0.817427,0.81485,0.812916,0.808405,0.804217,0.816461,0.799706,0.798417,0.795839,0.793261,0.789717,0.789717,0.784884,0.783595,0.78005,0.778117,0.776506,0.775217,0.773284,0.770384,0.768129,0.766517,0.764906,0.45268,0.15302,0.074399,0.050877,0.042822,0.038633,0.0367,0.036055,0.035089,0.036055,0.035089,0.0367,0.034444,0.033156,0.035411,0.036055,0.034767,0.035089,0.035089,1.426737
0.035411,0.035733,0.035411,0.029933,0.034444,0.027356,0.035411,0.032833,0.034767,0.0309,0.034767,0.034767,0.034767,0.034122,0.034767,0.035411,0.036055,0.034444,0.035411,0.035089,0.035089,0.171064,0.505201,0.683064,0.757173,0.781017,0.788428,0.789717,0.787784,0.784884,0.782628,0.779728,0.777151,0.775539,0.779728,0.770384,0.764584,0.766517,0.764906,0.761684,0.758784,0.757818,0.753629,0.754273,0.752018,0.750407,0.749118,0.746862,0.745573,0.743318,0.741062,0.389203,0.134331,0.067633,0.047977,0.039922,0.037667,0.037022,0.035411,0.034444,0.034122,0.0338,0.0338,0.034122,0.032511,0.049588,0.0338,0.039278,0.034444,0.037344,1.41707
0.033478,0.034122,0.033478,0.033478,0.034444,0.034767,0.026711,0.034122,0.033478,0.0338,0.032833,0.035089,0.035411,0.0338,0.035411,0.033478,0.035089,0.034444,0.0338,0.033478,0.035089,0.159142,0.485224,0.662764,0.733974,0.75814,0.765229,0.76684,0.765229,0.763295,0.760718,0.759751,0.755884,0.753951,0.751051,0.744929,0.747185,0.735907,0.744607,0.740096,0.740096,0.733329,0.735907,0.733974,0.732685,0.731396,0.72914,0.72914,0.727529,0.725596,0.723018,0.427225,0.143031,0.068921,0.047011,0.038633,0.036055,0.035089,0.034122,0.0338,0.033156,0.033478,0.032833,0.033478,0.033478,0.0338,0.044111,0.033156,0.033478,0.033478,1.409015
0.032833,0.032189,0.032511,0.032511,0.034767,0.033478,0.030256,0.049911,0.0338,0.037667,0.033478,0.036055,0.032511,0.036378,0.032511,0.035411,0.033478,0.032511,0.032833,0.033156,0.032511,0.106298,0.427869,0.625709,0.707874,0.736229,0.74654,0.749118,0.748151,0.746862,0.743962,0.741385,0.739774,0.737518,0.73494,0.733007,0.731074,0.728496,0.722052,0.726885,0.724952,0.722374,0.719796,0.719796,0.720118,0.716252,0.715285,0.713352,0.71303,0.710452,0.711741,0.45558,0.147864,0.068599,0.046366,0.038633,0.036378,0.033478,0.031867,0.032189,0.032511,0.033156,0.031544,0.031867,0.031867,0.034444,0.032511,0.027033,0.031544,0.018656,1.402248
0.032189,0.031867,0.031867,0.032511,0.032511,0.031867,0.032833,0.043789,0.032189,0.032511,0.034444,0.034122,0.031867,0.032511,0.032189,0.029289,0.032189,0.030578,0.034444,0.031867,0.083743,0.394359,0.603154,0.687575,0.720118,0.73204,0.736229,0.73494,0.73204,0.729785,0.728496,0.726885,0.723985,0.721407,0.722052,0.716574,0.716252,0.712707,0.727852,0.711096,0.714319,0.707874,0.709485,0.70433,0.707552,0.70143,0.700786,0.698852,0.697563,0.69563,0.642465,0.19233,0.079555,0.049588,0.039278,0.034122,0.032511,0.032189,0.031867,0.032189,0.032189,0.0309,0.031222,0.031222,0.031867,0.031544,0.030578,0.031544,0.029933,0.021878,1.394515
0.031222,0.030578,0.031222,0.032833,0.031867,0.031867,0.031867,0.031222,0.029933,0.0309,0.027033,0.033478,0.032189,0.0309,0.0309,0.0309,0.031222,0.031544,0.032511,0.0309,0.053133,0.338293,0.568033,0.666308,0.704008,0.716896,0.72173,0.72173,0.719474,0.716574,0.715607,0.71303,0.710774,0.711096,0.707552,0.704974,0.704008,0.70143,0.700141,0.699174,0.69853,0.695952,0.69563,0.693697,0.692408,0.690152,0.690797,0.688219,0.687252,0.685641,0.684353,0.241951,0.092121,0.052488,0.039922,0.035733,0.033156,0.031544,0.032189,0.031222,0.031222,0.030256,0.031544,0.0309,0.031544,0.029933,0.0309,0.030578,0.031867,0.029611,1.389037
0.031222,0.030578,0.030578,0.0309,0.0309,0.030256,0.0309,0.030256,0.031222,0.030256,0.030578,0.031222,0.0309,0.030256,0.030578,0.030578,0.030578,0.030256,0.033156,0.0309,0.0309,0.288994,0.537422,0.64762,0.691441,0.705941,0.711096,0.710774,0.709163,0.70723,0.706263,0.704652,0.702397,0.700141,0.697886,0.69563,0.694986,0.69273,0.691441,0.68983,0.687575,0.687575,0.685641,0.685964,0.683708,0.681775,0.680486,0.679519,0.677908,0.677264,0.675331,0.279006,0.100176,0.055066,0.040566,0.034767,0.031544,0.031867,0.0309,0.030578,0.030578,0.029611,0.030578,0.030578,0.0309,0.0309,0.030256,0.029611,0.0309,0.030256,1.382915
0.029611,0.030256,0.030256,0.032189,0.029289,0.030578,0.029933,0.029933,0.030578,0.030578,0.030578,0.028967,0.031544,0.029289,0.0309,0.029933,0.029933,0.031544,0.031222,0.029933,0.029611,0.177186,0.462991,0.61121,0.671464,0.693697,0.70143,0.701752,0.703363,0.700463,0.697241,0.696275,0.694019,0.691441,0.690797,0.688541,0.687252,0.685319,0.684675,0.682741,0.681453,0.679842,0.67823,0.676942,0.676619,0.674364,0.672753,0.672108,0.671464,0.669853,0.668886,0.304139,0.105332,0.054422,0.040566,0.034444,0.032189,0.031867,0.030578,0.029289,0.029933,0.029289,0.029933,0.030256,0.029933,0.029611,0.029289,0.029611,0.030256,0.029289,1.377438
0.029289,0.029611,0.0309,0.029611,0.029611,0.030256,0.029611,0.029611,0.029289,0.029611,0.029933,0.030256,0.029289,0.032189,0.029611,0.028,0.029611,0.0309,0.030578,0.029611,0.029933,0.124987,0.417558,0.58801,0.660186,0.684997,0.69273,0.694986,0.693052,0.692408,0.689508,0.689186,0.688541,0.685319,0.683064,0.682097,0.679519,0.67823,0.676297,0.674686,0.675008,0.672753,0.672431,0.669208,0.671142,0.66792,0.66502,0.66502,0.665986,0.662764,0.659864,0.345704,0.114676,0.057644,0.039922,0.034767,0.033478,0.032189,0.030256,0.030578,0.029289,0.029611,0.032189,0.030578,0.029933,0.030256,0.028967,0.029611,0.029289,0.030256,1.371638
0.028967,0.029289,0.029289,0.029289,0.029611,0.030256,0.029611,0.030256,0.029933,0.0309,0.028644,0.029611,0.029611,0.028967,0.028322,0.030578,0.026389,0.031222,0.029611,0.029933,0.028967,0.107909,0.398548,0.575122,0.648264,0.676942,0.685319,0.687252,0.68693,0.685641,0.683064,0.681453,0.680164,0.680486,0.675975,0.675008,0.673397,0.672108,0.670175,0.668886,0.667597,0.66792,0.665342,0.664375,0.663086,0.663731,0.660509,0.659542,0.656964,0.658253,0.655998,0.393714,0.126276,0.060866,0.040566,0.034767,0.031544,0.031222,0.0309,0.030256,0.029289,0.029289,0.0309,0.029289,0.030256,0.029611,0.028322,0.029289,0.029289,0.028644,1.367771
0.028967,0.028967,0.029933,0.029611,0.028644,0.029611,0.029289,0.029289,0.028,0.029611,0.029289,0.029611,0.028967,0.028967,0.029611,0.029933,0.037344,0.011245,0.033156,0.026067,0.031222,0.111776,0.405636,0.573188,0.642787,0.671786,0.680164,0.683064,0.679519,0.680486,0.677586,0.676619,0.675331,0.671786,0.671142,0.669531,0.66792,0.665986,0.665664,0.663731,0.662442,0.660509,0.659542,0.658898,0.656642,0.655675,0.644076,0.673397,0.636665,0.661475,0.64472,0.504234,0.143675,0.07311,0.038311,0.037667,0.029933,0.030256,0.029933,0.028644,0.028644,0.028,0.028644,0.028644,0.030578,0.028322,0.029289,0.028322,0.028967,0.028644,1.362938
0.028322,0.029933,0.028322,0.027678,0.028,0.028322,0.029289,0.029289,0.028967,0.029289,0.0309,0.029933,0.028644,0.028644,0.029289,0.029933,0.015756,0.051522,0.011889,0.042178,0.072788,0.366648,0.545478,0.637954,0.659864,0.676619,0.674042,0.676297,0.674364,0.672431,0.671786,0.669531,0.66792,0.665986,0.66502,0.663409,0.661475,0.660186,0.659542,0.656964,0.655998,0.655031,0.654064,0.652131,0.651487,0.649231,0.648909,0.671142,0.627643,0.65342,0.542578,0.167197,0.064088,0.044433,0.035089,0.0309,0.032511,0.028644,0.030578,0.027356,0.029611,0.027678,0.029933,0.027678,0.029289,0.027356,0.028,0.028644,0.028644,0.028644,1.358427
0.028967,0.029933,0.026711,0.029289,0.027033,0.028644,0.028644,0.027678,0.029611,0.027678,0.029289,0.027678,0.028644,0.027678,0.028,0.0309,0.028,0.028967,0.052811,0.004478,0.037344,0.294472,0.523567,0.611532,0.656642,0.666631,0.668242,0.673397,0.668886,0.668242,0.664697,0.666308,0.662764,0.661797,0.661475,0.658575,0.657286,0.655353,0.654387,0.652453,0.651809,0.650842,0.649553,0.647942,0.64762,0.646653,0.645365,0.64472,0.634731,0.655353,0.565777,0.177508,0.065699,0.046689,0.030578,0.035733,0.026711,0.032511,0.026711,0.029933,0.028322,0.029289,0.028,0.028644,0.029289,0.028644,0.027678,0.028322,0.028967,0.026711,1.355205
0.031544,0.026389,0.030256,0.028322,0.029289,0.027356,0.028322,0.027678,0.028644,0.028322,0.028644,0.028644,0.029289,0.027356,0.028644,0.028644,0.027678,0.028967,0.027678,0.026067,0.029611,0.253873,0.502623,0.600899,0.649231,0.660831,0.671786,0.664697,0.668564,0.663731,0.662764,0.660831,0.659864,0.657931,0.657286,0.655353,0.653098,0.653098,0.653098,0.649231,0.648587,0.646653,0.645365,0.645365,0.643753,0.642787,0.641176,0.640531,0.63892,0.637954,0.610887,0.159142,0.074721,0.041855,0.035411,0.028967,0.028967,0.027033,0.028967,0.028967,0.028644,0.029611,0.028644,0.029611,0.028644,0.029611,0.029289,0.028,0.028644,0.028,1.351983
0.027356,0.027678,0.028,0.028967,0.028644,0.028,0.028,0.029933,0.028322,0.027678,0.027678,0.028322,0.027678,0.028,0.028,0.029611,0.028322,0.028322,0.029289,0.028,0.029289,0.280295,0.501656,0.612499,0.64182,0.660186,0.662442,0.665986,0.662442,0.661797,0.658253,0.657931,0.655675,0.653098,0.652775,0.651809,0.650198,0.647942,0.647942,0.646331,0.644076,0.643109,0.642142,0.640531,0.640209,0.638598,0.636987,0.636987,0.636342,0.634731,0.633765,0.218107,0.075366,0.046689,0.040566,0.031222,0.029289,0.029611,0.030256,0.028967,0.029611,0.028644,0.028644,0.028,0.028322,0.028,0.027678,0.027678,0.028322,0.028322,1.347794
